sentiment,country,question,count
negative,Turks and Caicos Islands,I have no fears about a more connected future,0
negative,Turks and Caicos Islands,Other (please specify),0
negative,Turks and Caicos Islands,WeÛªll be less safe,0
positive,Dominican Republic,,21
positive,Dominican Republic,How much fun it will be,22
positive,Dominican Republic,How it will make us all smarter and better educated,48
positive,Dominican Republic,How easy it will make life,79
positive,Dominican Republic,How it will bring the world together,30
positive,Dominican Republic,Other (please specify),11
positive,Dominican Republic,None of the above,33
negative,Dominican Republic,,21
negative,Dominican Republic,WeÛªll lose touch with one another,0
negative,Dominican Republic,The loss of privacy,100
negative,Dominican Republic,I have no fears about a more connected future,37
negative,Dominican Republic,Other (please specify),7
negative,Dominican Republic,WeÛªll be less safe,0
positive,China,,9
positive,China,How much fun it will be,13
positive,China,How it will make us all smarter and better educated,20
positive,China,How easy it will make life,32
positive,China,How it will bring the world together,16
positive,China,Other (please specify),6
positive,China,None of the above,11
negative,China,,9
negative,China,WeÛªll lose touch with one another,0
negative,China,The loss of privacy,39
negative,China,I have no fears about a more connected future,5
negative,China,Other (please specify),6
negative,China,WeÛªll be less safe,0
positive,Maldives,,3
positive,Maldives,How much fun it will be,0
positive,Maldives,How it will make us all smarter and better educated,3
positive,Maldives,How easy it will make life,3
positive,Maldives,How it will bring the world together,0
positive,Maldives,Other (please specify),2
positive,Maldives,None of the above,1
negative,Maldives,,3
negative,Maldives,WeÛªll lose touch with one another,0
negative,Maldives,The loss of privacy,2
negative,Maldives,I have no fears about a more connected future,1
negative,Maldives,Other (please specify),1
negative,Maldives,WeÛªll be less safe,0
positive,Congo, The Democratic Republic of the,,12
positive,Congo, The Democratic Republic of the,How much fun it will be,2
positive,Congo, The Democratic Republic of the,How it will make us all smarter and better educated,3
positive,Congo, The Democratic Republic of the,How easy it will make life,16
positive,Congo, The Democratic Republic of the,How it will bring the world together,10
positive,Congo, The Democratic Republic of the,Other (please specify),4
positive,Congo, The Democratic Republic of the,None of the above,11
negative,Congo, The Democratic Republic of the,,12
negative,Congo, The Democratic Republic of the,WeÛªll lose touch with one another,0
negative,Congo, The Democratic Republic of the,The loss of privacy,18
negative,Congo, The Democratic Republic of the,I have no fears about a more connected future,8
negative,Congo, The Democratic Republic of the,Other (please specify),5
negative,Congo, The Democratic Republic of the,WeÛªll be less safe,0
positive,Brazil,,798
positive,Brazil,How much fun it will be,1134
positive,Brazil,How it will make us all smarter and better educated,1052
positive,Brazil,How easy it will make life,5492
positive,Brazil,How it will bring the world together,1038
positive,Brazil,Other (please specify),1450
positive,Brazil,None of the above,2445
negative,Brazil,,973
negative,Brazil,WeÛªll lose touch with one another,0
negative,Brazil,The loss of privacy,5136
negative,Brazil,I have no fears about a more connected future,1621
negative,Brazil,Other (please specify),979
negative,Brazil,WeÛªll be less safe,0
positive,Bosnia and Herzegovina,,13
positive,Bosnia and Herzegovina,How much fun it will be,6
positive,Bosnia and Herzegovina,How it will make us all smarter and better educated,14
positive,Bosnia and Herzegovina,How easy it will make life,11
positive,Bosnia and Herzegovina,How it will bring the world together,7
positive,Bosnia and Herzegovina,Other (please specify),1
positive,Bosnia and Herzegovina,None of the above,10
negative,Bosnia and Herzegovina,,12
negative,Bosnia and Herzegovina,WeÛªll lose touch with one another,0
negative,Bosnia and Herzegovina,The loss of privacy,20
negative,Bosnia and Herzegovina,I have no fears about a more connected future,6
negative,Bosnia and Herzegovina,Other (please specify),0
negative,Bosnia and Herzegovina,WeÛªll be less safe,0
positive,Swaziland,,0
positive,Swaziland,How much fun it will be,0
positive,Swaziland,How it will make us all smarter and better educated,2
positive,Swaziland,How easy it will make life,2
positive,Swaziland,How it will bring the world together,0
positive,Swaziland,Other (please specify),0
positive,Swaziland,None of the above,1
negative,Swaziland,,0
negative,Swaziland,WeÛªll lose touch with one another,0
negative,Swaziland,The loss of privacy,4
negative,Swaziland,I have no fears about a more connected future,0
negative,Swaziland,Other (please specify),0
negative,Swaziland,WeÛªll be less safe,0
positive,France,,1407
positive,France,How much fun it will be,1913
positive,France,How it will make us all smarter and better educated,4047
positive,France,How easy it will make life,8243
positive,France,How it will bring the world together,3119
positive,France,Other (please specify),2927
positive,France,None of the above,10329
negative,France,,1257
negative,France,WeÛªll lose touch with one another,0
negative,France,The loss of privacy,15545
negative,France,I have no fears about a more connected future,1288
negative,France,Other (please specify),3381
negative,France,WeÛªll be less safe,0
positive,Israel,,2
positive,Israel,How much fun it will be,15
positive,Israel,How it will make us all smarter and better educated,27
positive,Israel,How easy it will make life,34
positive,Israel,How it will bring the world together,25
positive,Israel,Other (please specify),19
positive,Israel,None of the above,38
negative,Israel,,3
negative,Israel,WeÛªll lose touch with one another,0
negative,Israel,The loss of privacy,67
negative,Israel,I have no fears about a more connected future,11
negative,Israel,Other (please specify),15
negative,Israel,WeÛªll be less safe,0
positive,Albania,,11
positive,Albania,How much fun it will be,7
positive,Albania,How it will make us all smarter and better educated,10
positive,Albania,How easy it will make life,16
positive,Albania,How it will bring the world together,11
positive,Albania,Other (please specify),5
positive,Albania,None of the above,8
negative,Albania,,10
negative,Albania,WeÛªll lose touch with one another,0
negative,Albania,The loss of privacy,25
negative,Albania,I have no fears about a more connected future,6
negative,Albania,Other (please specify),3
negative,Albania,WeÛªll be less safe,0
positive,Chile,,65
positive,Chile,How much fun it will be,214
positive,Chile,How it will make us all smarter and better educated,217
positive,Chile,How easy it will make life,314
positive,Chile,How it will bring the world together,148
positive,Chile,Other (please specify),143
positive,Chile,None of the above,316
negative,Chile,,74
negative,Chile,WeÛªll lose touch with one another,0
negative,Chile,The loss of privacy,616
negative,Chile,I have no fears about a more connected future,136
negative,Chile,Other (please specify),113
negative,Chile,WeÛªll be less safe,0
positive,Serbia,,25
positive,Serbia,How much fun it will be,24
positive,Serbia,How it will make us all smarter and better educated,38
positive,Serbia,How easy it will make life,46
positive,Serbia,How it will bring the world together,21
positive,Serbia,Other (please specify),16
positive,Serbia,None of the above,29
negative,Serbia,,26
negative,Serbia,WeÛªll lose touch with one another,0
negative,Serbia,The loss of privacy,83
negative,Serbia,I have no fears about a more connected future,16
negative,Serbia,Other (please specify),6
negative,Serbia,WeÛªll be less safe,0
positive,Czech Republic,,6
positive,Czech Republic,How much fun it will be,15
positive,Czech Republic,How it will make us all smarter and better educated,29
positive,Czech Republic,How easy it will make life,43
positive,Czech Republic,How it will bring the world together,24
positive,Czech Republic,Other (please specify),2
positive,Czech Republic,None of the above,31
negative,Czech Republic,,5
negative,Czech Republic,WeÛªll lose touch with one another,0
negative,Czech Republic,The loss of privacy,73
negative,Czech Republic,I have no fears about a more connected future,5
negative,Czech Republic,Other (please specify),9
negative,Czech Republic,WeÛªll be less safe,0
positive,Djibouti,,1
positive,Djibouti,How much fun it will be,0
positive,Djibouti,How it will make us all smarter and better educated,1
positive,Djibouti,How easy it will make life,2
positive,Djibouti,How it will bring the world together,3
positive,Djibouti,Other (please specify),0
positive,Djibouti,None of the above,1
negative,Djibouti,,1
negative,Djibouti,WeÛªll lose touch with one another,0
negative,Djibouti,The loss of privacy,2
negative,Djibouti,I have no fears about a more connected future,2
negative,Djibouti,Other (please specify),0
negative,Djibouti,WeÛªll be less safe,0
positive,Togo,,18
positive,Togo,How much fun it will be,4
positive,Togo,How it will make us all smarter and better educated,13
positive,Togo,How easy it will make life,13
positive,Togo,How it will bring the world together,13
positive,Togo,Other (please specify),3
positive,Togo,None of the above,9
negative,Togo,,17
negative,Togo,WeÛªll lose touch with one another,0
negative,Togo,The loss of privacy,26
negative,Togo,I have no fears about a more connected future,9
negative,Togo,Other (please specify),2
negative,Togo,WeÛªll be less safe,0
positive,Mayotte,,4
positive,Mayotte,How much fun it will be,2
positive,Mayotte,How it will make us all smarter and better educated,1
positive,Mayotte,How easy it will make life,2
positive,Mayotte,How it will bring the world together,5
positive,Mayotte,Other (please specify),2
positive,Mayotte,None of the above,10
negative,Mayotte,,3
negative,Mayotte,WeÛªll lose touch with one another,0
negative,Mayotte,The loss of privacy,10
negative,Mayotte,I have no fears about a more connected future,1
negative,Mayotte,Other (please specify),1
negative,Mayotte,WeÛªll be less safe,0
positive,Tunisia,,72
positive,Tunisia,How much fun it will be,20
positive,Tunisia,How it will make us all smarter and better educated,43
positive,Tunisia,How easy it will make life,73
positive,Tunisia,How it will bring the world together,29
positive,Tunisia,Other (please specify),17
positive,Tunisia,None of the above,27
negative,Tunisia,,68
negative,Tunisia,WeÛªll lose touch with one another,0
negative,Tunisia,The loss of privacy,83
negative,Tunisia,I have no fears about a more connected future,15
negative,Tunisia,Other (please specify),14
negative,Tunisia,WeÛªll be less safe,0
positive,Paraguay,,16
positive,Paraguay,How much fun it will be,44
positive,Paraguay,How it will make us all smarter and better educated,36
positive,Paraguay,How easy it will make life,72
positive,Paraguay,How it will bring the world together,38
positive,Paraguay,Other (please specify),20
positive,Paraguay,None of the above,55
negative,Paraguay,,22
negative,Paraguay,WeÛªll lose touch with one another,0
negative,Paraguay,The loss of privacy,127
negative,Paraguay,I have no fears about a more connected future,32
negative,Paraguay,Other (please specify),7
negative,Paraguay,WeÛªll be less safe,0
positive,Bhutan,,1
positive,Bhutan,How much fun it will be,0
positive,Bhutan,How it will make us all smarter and better educated,1
positive,Bhutan,How easy it will make life,1
positive,Bhutan,How it will bring the world together,1
positive,Bhutan,Other (please specify),0
positive,Bhutan,None of the above,0
negative,Bhutan,,1
negative,Bhutan,WeÛªll lose touch with one another,0
negative,Bhutan,The loss of privacy,2
negative,Bhutan,I have no fears about a more connected future,1
negative,Bhutan,Other (please specify),0
negative,Bhutan,WeÛªll be less safe,0
positive,Saint Kitts and Nevis,,0
positive,Saint Kitts and Nevis,How much fun it will be,0
positive,Saint Kitts and Nevis,How it will make us all smarter and better educated,1
positive,Saint Kitts and Nevis,How easy it will make life,0
positive,Saint Kitts and Nevis,How it will bring the world together,1
positive,Saint Kitts and Nevis,Other (please specify),0
positive,Saint Kitts and Nevis,None of the above,0
negative,Saint Kitts and Nevis,,0
negative,Saint Kitts and Nevis,WeÛªll lose touch with one another,0
negative,Saint Kitts and Nevis,The loss of privacy,0
negative,Saint Kitts and Nevis,I have no fears about a more connected future,0
negative,Saint Kitts and Nevis,Other (please specify),0
negative,Saint Kitts and Nevis,WeÛªll be less safe,0
positive,Martinique,,6
positive,Martinique,How much fun it will be,6
positive,Martinique,How it will make us all smarter and better educated,11
positive,Martinique,How easy it will make life,26
positive,Martinique,How it will bring the world together,8
positive,Martinique,Other (please specify),11
positive,Martinique,None of the above,39
negative,Martinique,,6
negative,Martinique,WeÛªll lose touch with one another,0
negative,Martinique,The loss of privacy,45
negative,Martinique,I have no fears about a more connected future,8
negative,Martinique,Other (please specify),11
negative,Martinique,WeÛªll be less safe,0
positive,Sao Tome and Principe,,0
positive,Sao Tome and Principe,How much fun it will be,0
positive,Sao Tome and Principe,How it will make us all smarter and better educated,0
positive,Sao Tome and Principe,How easy it will make life,0
positive,Sao Tome and Principe,How it will bring the world together,0
positive,Sao Tome and Principe,Other (please specify),0
positive,Sao Tome and Principe,None of the above,1
negative,Sao Tome and Principe,,0
negative,Sao Tome and Principe,WeÛªll lose touch with one another,0
negative,Sao Tome and Principe,The loss of privacy,0
negative,Sao Tome and Principe,I have no fears about a more connected future,1
negative,Sao Tome and Principe,Other (please specify),0
negative,Sao Tome and Principe,WeÛªll be less safe,0
positive,Lebanon,,5
positive,Lebanon,How much fun it will be,7
positive,Lebanon,How it will make us all smarter and better educated,4
positive,Lebanon,How easy it will make life,15
positive,Lebanon,How it will bring the world together,8
positive,Lebanon,Other (please specify),2
positive,Lebanon,None of the above,10
negative,Lebanon,,7
negative,Lebanon,WeÛªll lose touch with one another,0
negative,Lebanon,The loss of privacy,18
negative,Lebanon,I have no fears about a more connected future,1
negative,Lebanon,Other (please specify),4
negative,Lebanon,WeÛªll be less safe,0
positive,South Sudan,,0
positive,South Sudan,How much fun it will be,0
positive,South Sudan,How it will make us all smarter and better educated,0
positive,South Sudan,How easy it will make life,1
positive,South Sudan,How it will bring the world together,0
positive,South Sudan,Other (please specify),1
positive,South Sudan,None of the above,0
negative,South Sudan,,0
negative,South Sudan,WeÛªll lose touch with one another,0
negative,South Sudan,The loss of privacy,1
negative,South Sudan,I have no fears about a more connected future,0
negative,South Sudan,Other (please specify),1
negative,South Sudan,WeÛªll be less safe,0
positive,Peru,,83
positive,Peru,How much fun it will be,148
positive,Peru,How it will make us all smarter and better educated,158
positive,Peru,How easy it will make life,215
positive,Peru,How it will bring the world together,168
positive,Peru,Other (please specify),52
positive,Peru,None of the above,87
negative,Peru,,91
negative,Peru,WeÛªll lose touch with one another,0
negative,Peru,The loss of privacy,396
negative,Peru,I have no fears about a more connected future,107
negative,Peru,Other (please specify),50
negative,Peru,WeÛªll be less safe,0
positive,Costa Rica,,18
positive,Costa Rica,How much fun it will be,60
positive,Costa Rica,How it will make us all smarter and better educated,69
positive,Costa Rica,How easy it will make life,113
positive,Costa Rica,How it will bring the world together,44
positive,Costa Rica,Other (please specify),39
positive,Costa Rica,None of the above,97
negative,Costa Rica,,20
negative,Costa Rica,WeÛªll lose touch with one another,0
negative,Costa Rica,The loss of privacy,210
negative,Costa Rica,I have no fears about a more connected future,44
negative,Costa Rica,Other (please specify),24
negative,Costa Rica,WeÛªll be less safe,0
positive,Cote D'Ivoire,,71
positive,Cote D'Ivoire,How much fun it will be,26
positive,Cote D'Ivoire,How it will make us all smarter and better educated,49
positive,Cote D'Ivoire,How easy it will make life,86
positive,Cote D'Ivoire,How it will bring the world together,34
positive,Cote D'Ivoire,Other (please specify),7
positive,Cote D'Ivoire,None of the above,34
negative,Cote D'Ivoire,,67
negative,Cote D'Ivoire,WeÛªll lose touch with one another,0
negative,Cote D'Ivoire,The loss of privacy,126
negative,Cote D'Ivoire,I have no fears about a more connected future,16
negative,Cote D'Ivoire,Other (please specify),11
negative,Cote D'Ivoire,WeÛªll be less safe,0
positive,Barbados,,0
positive,Barbados,How much fun it will be,2
positive,Barbados,How it will make us all smarter and better educated,4
positive,Barbados,How easy it will make life,3
positive,Barbados,How it will bring the world together,0
positive,Barbados,Other (please specify),0
positive,Barbados,None of the above,3
negative,Barbados,,0
negative,Barbados,WeÛªll lose touch with one another,0
negative,Barbados,The loss of privacy,5
negative,Barbados,I have no fears about a more connected future,0
negative,Barbados,Other (please specify),0
negative,Barbados,WeÛªll be less safe,0
positive,Nigeria,,46
positive,Nigeria,How much fun it will be,19
positive,Nigeria,How it will make us all smarter and better educated,68
positive,Nigeria,How easy it will make life,92
positive,Nigeria,How it will bring the world together,41
positive,Nigeria,Other (please specify),10
positive,Nigeria,None of the above,10
negative,Nigeria,,46
negative,Nigeria,WeÛªll lose touch with one another,0
negative,Nigeria,The loss of privacy,120
negative,Nigeria,I have no fears about a more connected future,58
negative,Nigeria,Other (please specify),9
negative,Nigeria,WeÛªll be less safe,0
positive,Botswana,,4
positive,Botswana,How much fun it will be,1
positive,Botswana,How it will make us all smarter and better educated,2
positive,Botswana,How easy it will make life,3
positive,Botswana,How it will bring the world together,4
positive,Botswana,Other (please specify),1
positive,Botswana,None of the above,1
negative,Botswana,,4
negative,Botswana,WeÛªll lose touch with one another,0
negative,Botswana,The loss of privacy,4
negative,Botswana,I have no fears about a more connected future,1
negative,Botswana,Other (please specify),0
negative,Botswana,WeÛªll be less safe,0
positive,French Guiana,,2
positive,French Guiana,How much fun it will be,3
positive,French Guiana,How it will make us all smarter and better educated,5
positive,French Guiana,How easy it will make life,16
positive,French Guiana,How it will bring the world together,2
positive,French Guiana,Other (please specify),5
positive,French Guiana,None of the above,17
negative,French Guiana,,3
negative,French Guiana,WeÛªll lose touch with one another,0
negative,French Guiana,The loss of privacy,17
negative,French Guiana,I have no fears about a more connected future,3
negative,French Guiana,Other (please specify),6
negative,French Guiana,WeÛªll be less safe,0
positive,Slovakia,,6
positive,Slovakia,How much fun it will be,7
positive,Slovakia,How it will make us all smarter and better educated,10
positive,Slovakia,How easy it will make life,18
positive,Slovakia,How it will bring the world together,9
positive,Slovakia,Other (please specify),5
positive,Slovakia,None of the above,18
negative,Slovakia,,6
negative,Slovakia,WeÛªll lose touch with one another,0
negative,Slovakia,The loss of privacy,32
negative,Slovakia,I have no fears about a more connected future,5
negative,Slovakia,Other (please specify),6
negative,Slovakia,WeÛªll be less safe,0
positive,Myanmar,,51
positive,Myanmar,How much fun it will be,4
positive,Myanmar,How it will make us all smarter and better educated,21
positive,Myanmar,How easy it will make life,24
positive,Myanmar,How it will bring the world together,6
positive,Myanmar,Other (please specify),1
positive,Myanmar,None of the above,4
negative,Myanmar,,52
negative,Myanmar,WeÛªll lose touch with one another,0
negative,Myanmar,The loss of privacy,28
negative,Myanmar,I have no fears about a more connected future,13
negative,Myanmar,Other (please specify),0
negative,Myanmar,WeÛªll be less safe,0
positive,Malawi,,1
positive,Malawi,How much fun it will be,1
positive,Malawi,How it will make us all smarter and better educated,2
positive,Malawi,How easy it will make life,6
positive,Malawi,How it will bring the world together,2
positive,Malawi,Other (please specify),0
positive,Malawi,None of the above,1
negative,Malawi,,1
negative,Malawi,WeÛªll lose touch with one another,0
negative,Malawi,The loss of privacy,9
negative,Malawi,I have no fears about a more connected future,1
negative,Malawi,Other (please specify),1
negative,Malawi,WeÛªll be less safe,0
positive,Argentina,,171
positive,Argentina,How much fun it will be,371
positive,Argentina,How it will make us all smarter and better educated,498
positive,Argentina,How easy it will make life,617
positive,Argentina,How it will bring the world together,412
positive,Argentina,Other (please specify),339
positive,Argentina,None of the above,854
negative,Argentina,,180
negative,Argentina,WeÛªll lose touch with one another,0
negative,Argentina,The loss of privacy,1289
negative,Argentina,I have no fears about a more connected future,413
negative,Argentina,Other (please specify),260
negative,Argentina,WeÛªll be less safe,0
positive,Kyrgyzstan,,0
positive,Kyrgyzstan,How much fun it will be,0
positive,Kyrgyzstan,How it will make us all smarter and better educated,1
positive,Kyrgyzstan,How easy it will make life,0
positive,Kyrgyzstan,How it will bring the world together,0
positive,Kyrgyzstan,Other (please specify),0
positive,Kyrgyzstan,None of the above,0
negative,Kyrgyzstan,,0
negative,Kyrgyzstan,WeÛªll lose touch with one another,0
negative,Kyrgyzstan,The loss of privacy,0
negative,Kyrgyzstan,I have no fears about a more connected future,0
negative,Kyrgyzstan,Other (please specify),0
negative,Kyrgyzstan,WeÛªll be less safe,0
positive,Ethiopia,,50
positive,Ethiopia,How much fun it will be,1
positive,Ethiopia,How it will make us all smarter and better educated,6
positive,Ethiopia,How easy it will make life,13
positive,Ethiopia,How it will bring the world together,6
positive,Ethiopia,Other (please specify),0
positive,Ethiopia,None of the above,3
negative,Ethiopia,,45
negative,Ethiopia,WeÛªll lose touch with one another,0
negative,Ethiopia,The loss of privacy,12
negative,Ethiopia,I have no fears about a more connected future,3
negative,Ethiopia,Other (please specify),4
negative,Ethiopia,WeÛªll be less safe,0
positive,Europe,,1
positive,Europe,How much fun it will be,18
positive,Europe,How it will make us all smarter and better educated,23
positive,Europe,How easy it will make life,55
positive,Europe,How it will bring the world together,15
positive,Europe,Other (please specify),7
positive,Europe,None of the above,40
negative,Europe,,2
negative,Europe,WeÛªll lose touch with one another,0
negative,Europe,The loss of privacy,81
negative,Europe,I have no fears about a more connected future,7
negative,Europe,Other (please specify),11
negative,Europe,WeÛªll be less safe,0
positive,Luxembourg,,7
positive,Luxembourg,How much fun it will be,12
positive,Luxembourg,How it will make us all smarter and better educated,32
positive,Luxembourg,How easy it will make life,60
positive,Luxembourg,How it will bring the world together,20
positive,Luxembourg,Other (please specify),23
positive,Luxembourg,None of the above,65
negative,Luxembourg,,10
negative,Luxembourg,WeÛªll lose touch with one another,0
negative,Luxembourg,The loss of privacy,113
negative,Luxembourg,I have no fears about a more connected future,12
negative,Luxembourg,Other (please specify),20
negative,Luxembourg,WeÛªll be less safe,0
positive,Denmark,,2
positive,Denmark,How much fun it will be,15
positive,Denmark,How it will make us all smarter and better educated,52
positive,Denmark,How easy it will make life,48
positive,Denmark,How it will bring the world together,41
positive,Denmark,Other (please specify),12
positive,Denmark,None of the above,51
negative,Denmark,,2
negative,Denmark,WeÛªll lose touch with one another,0
negative,Denmark,The loss of privacy,113
negative,Denmark,I have no fears about a more connected future,14
negative,Denmark,Other (please specify),19
negative,Denmark,WeÛªll be less safe,0
positive,Ireland,,6
positive,Ireland,How much fun it will be,25
positive,Ireland,How it will make us all smarter and better educated,70
positive,Ireland,How easy it will make life,78
positive,Ireland,How it will bring the world together,55
positive,Ireland,Other (please specify),25
positive,Ireland,None of the above,109
negative,Ireland,,6
negative,Ireland,WeÛªll lose touch with one another,0
negative,Ireland,The loss of privacy,212
negative,Ireland,I have no fears about a more connected future,17
negative,Ireland,Other (please specify),25
negative,Ireland,WeÛªll be less safe,0
positive,Palestinian Territory,,2
positive,Palestinian Territory,How much fun it will be,0
positive,Palestinian Territory,How it will make us all smarter and better educated,1
positive,Palestinian Territory,How easy it will make life,1
positive,Palestinian Territory,How it will bring the world together,1
positive,Palestinian Territory,Other (please specify),0
positive,Palestinian Territory,None of the above,2
negative,Palestinian Territory,,2
negative,Palestinian Territory,WeÛªll lose touch with one another,0
negative,Palestinian Territory,The loss of privacy,5
negative,Palestinian Territory,I have no fears about a more connected future,0
negative,Palestinian Territory,Other (please specify),0
negative,Palestinian Territory,WeÛªll be less safe,0
positive,Cambodia,,64
positive,Cambodia,How much fun it will be,1
positive,Cambodia,How it will make us all smarter and better educated,9
positive,Cambodia,How easy it will make life,7
positive,Cambodia,How it will bring the world together,12
positive,Cambodia,Other (please specify),5
positive,Cambodia,None of the above,6
negative,Cambodia,,65
negative,Cambodia,WeÛªll lose touch with one another,0
negative,Cambodia,The loss of privacy,16
negative,Cambodia,I have no fears about a more connected future,0
negative,Cambodia,Other (please specify),5
negative,Cambodia,WeÛªll be less safe,0
positive,Taiwan,,2
positive,Taiwan,How much fun it will be,7
positive,Taiwan,How it will make us all smarter and better educated,12
positive,Taiwan,How easy it will make life,16
positive,Taiwan,How it will bring the world together,9
positive,Taiwan,Other (please specify),1
positive,Taiwan,None of the above,5
negative,Taiwan,,3
negative,Taiwan,WeÛªll lose touch with one another,0
negative,Taiwan,The loss of privacy,27
negative,Taiwan,I have no fears about a more connected future,3
negative,Taiwan,Other (please specify),3
negative,Taiwan,WeÛªll be less safe,0
positive,Puerto Rico,,8
positive,Puerto Rico,How much fun it will be,15
positive,Puerto Rico,How it will make us all smarter and better educated,17
positive,Puerto Rico,How easy it will make life,31
positive,Puerto Rico,How it will bring the world together,12
positive,Puerto Rico,Other (please specify),7
positive,Puerto Rico,None of the above,16
negative,Puerto Rico,,10
negative,Puerto Rico,WeÛªll lose touch with one another,0
negative,Puerto Rico,The loss of privacy,54
negative,Puerto Rico,I have no fears about a more connected future,8
negative,Puerto Rico,Other (please specify),0
negative,Puerto Rico,WeÛªll be less safe,0
positive,Mali,,31
positive,Mali,How much fun it will be,3
positive,Mali,How it will make us all smarter and better educated,9
positive,Mali,How easy it will make life,16
positive,Mali,How it will bring the world together,11
positive,Mali,Other (please specify),4
positive,Mali,None of the above,4
negative,Mali,,30
negative,Mali,WeÛªll lose touch with one another,0
negative,Mali,The loss of privacy,19
negative,Mali,I have no fears about a more connected future,7
negative,Mali,Other (please specify),3
negative,Mali,WeÛªll be less safe,0
positive,Guadeloupe,,4
positive,Guadeloupe,How much fun it will be,7
positive,Guadeloupe,How it will make us all smarter and better educated,13
positive,Guadeloupe,How easy it will make life,25
positive,Guadeloupe,How it will bring the world together,9
positive,Guadeloupe,Other (please specify),12
positive,Guadeloupe,None of the above,32
negative,Guadeloupe,,4
negative,Guadeloupe,WeÛªll lose touch with one another,0
negative,Guadeloupe,The loss of privacy,46
negative,Guadeloupe,I have no fears about a more connected future,4
negative,Guadeloupe,Other (please specify),11
negative,Guadeloupe,WeÛªll be less safe,0
positive,Guinea,,16
positive,Guinea,How much fun it will be,1
positive,Guinea,How it will make us all smarter and better educated,5
positive,Guinea,How easy it will make life,13
positive,Guinea,How it will bring the world together,5
positive,Guinea,Other (please specify),0
positive,Guinea,None of the above,4
negative,Guinea,,14
negative,Guinea,WeÛªll lose touch with one another,0
negative,Guinea,The loss of privacy,11
negative,Guinea,I have no fears about a more connected future,7
negative,Guinea,Other (please specify),1
negative,Guinea,WeÛªll be less safe,0
positive,Curacao,,0
positive,Curacao,How much fun it will be,0
positive,Curacao,How it will make us all smarter and better educated,3
positive,Curacao,How easy it will make life,4
positive,Curacao,How it will bring the world together,0
positive,Curacao,Other (please specify),1
positive,Curacao,None of the above,0
negative,Curacao,,0
negative,Curacao,WeÛªll lose touch with one another,0
negative,Curacao,The loss of privacy,2
negative,Curacao,I have no fears about a more connected future,0
negative,Curacao,Other (please specify),2
negative,Curacao,WeÛªll be less safe,0
positive,Chad,,1
positive,Chad,How much fun it will be,0
positive,Chad,How it will make us all smarter and better educated,4
positive,Chad,How easy it will make life,3
positive,Chad,How it will bring the world together,1
positive,Chad,Other (please specify),1
positive,Chad,None of the above,0
negative,Chad,,1
negative,Chad,WeÛªll lose touch with one another,0
negative,Chad,The loss of privacy,2
negative,Chad,I have no fears about a more connected future,1
negative,Chad,Other (please specify),1
negative,Chad,WeÛªll be less safe,0
positive,Niger,,6
positive,Niger,How much fun it will be,2
positive,Niger,How it will make us all smarter and better educated,5
positive,Niger,How easy it will make life,5
positive,Niger,How it will bring the world together,8
positive,Niger,Other (please specify),1
positive,Niger,None of the above,2
negative,Niger,,6
negative,Niger,WeÛªll lose touch with one another,0
negative,Niger,The loss of privacy,10
negative,Niger,I have no fears about a more connected future,4
negative,Niger,Other (please specify),1
negative,Niger,WeÛªll be less safe,0
positive,Burundi,,4
positive,Burundi,How much fun it will be,1
positive,Burundi,How it will make us all smarter and better educated,4
positive,Burundi,How easy it will make life,3
positive,Burundi,How it will bring the world together,2
positive,Burundi,Other (please specify),1
positive,Burundi,None of the above,3
negative,Burundi,,4
negative,Burundi,WeÛªll lose touch with one another,0
negative,Burundi,The loss of privacy,6
negative,Burundi,I have no fears about a more connected future,4
negative,Burundi,Other (please specify),0
negative,Burundi,WeÛªll be less safe,0
positive,Gabon,,10
positive,Gabon,How much fun it will be,5
positive,Gabon,How it will make us all smarter and better educated,12
positive,Gabon,How easy it will make life,19
positive,Gabon,How it will bring the world together,2
positive,Gabon,Other (please specify),1
positive,Gabon,None of the above,4
negative,Gabon,,11
negative,Gabon,WeÛªll lose touch with one another,0
negative,Gabon,The loss of privacy,18
negative,Gabon,I have no fears about a more connected future,5
negative,Gabon,Other (please specify),0
negative,Gabon,WeÛªll be less safe,0
positive,Croatia,,10
positive,Croatia,How much fun it will be,29
positive,Croatia,How it will make us all smarter and better educated,36
positive,Croatia,How easy it will make life,41
positive,Croatia,How it will bring the world together,16
positive,Croatia,Other (please specify),11
positive,Croatia,None of the above,37
negative,Croatia,,11
negative,Croatia,WeÛªll lose touch with one another,0
negative,Croatia,The loss of privacy,70
negative,Croatia,I have no fears about a more connected future,17
negative,Croatia,Other (please specify),11
negative,Croatia,WeÛªll be less safe,0
positive,Isle of Man,,0
positive,Isle of Man,How much fun it will be,2
positive,Isle of Man,How it will make us all smarter and better educated,1
positive,Isle of Man,How easy it will make life,0
positive,Isle of Man,How it will bring the world together,4
positive,Isle of Man,Other (please specify),1
positive,Isle of Man,None of the above,5
negative,Isle of Man,,0
negative,Isle of Man,WeÛªll lose touch with one another,0
negative,Isle of Man,The loss of privacy,6
negative,Isle of Man,I have no fears about a more connected future,0
negative,Isle of Man,Other (please specify),2
negative,Isle of Man,WeÛªll be less safe,0
positive,Mongolia,,5
positive,Mongolia,How much fun it will be,3
positive,Mongolia,How it will make us all smarter and better educated,1
positive,Mongolia,How easy it will make life,10
positive,Mongolia,How it will bring the world together,1
positive,Mongolia,Other (please specify),1
